91282CFX4,1000000,0,0,1000000
91282CGA3,0,1000000,0,1000000
91282CFZ9,0,0,1000000,1000000
91282CFY2,1000000,0,0,1000000
91282CFV8,0,1000000,0,1000000
912810TM0,0,0,1000000,1000000
912810TL2,1000000,0,0,1000000
91282CFX4,1000000,-2000000,0,-1000000
91282CGA3,0,1000000,-2000000,-1000000
91282CFZ9,-2000000,0,1000000,-1000000
91282CFY2,1000000,-2000000,0,-1000000
91282CFV8,0,1000000,-2000000,-1000000
912810TM0,-2000000,0,1000000,-1000000
912810TL2,1000000,-2000000,0,-1000000
91282CFX4,1000000,-2000000,3000000,2000000
91282CGA3,3000000,1000000,-2000000,2000000
91282CFZ9,-2000000,3000000,1000000,2000000
91282CFY2,1000000,-2000000,3000000,2000000
91282CFV8,3000000,1000000,-2000000,2000000
912810TM0,-2000000,3000000,1000000,2000000
912810TL2,1000000,-2000000,3000000,2000000
91282CFX4,-3000000,-2000000,3000000,-2000000
91282CGA3,3000000,-3000000,-2000000,-2000000
91282CFZ9,-2000000,3000000,-3000000,-2000000
91282CFY2,-3000000,-2000000,3000000,-2000000
91282CFV8,3000000,-3000000,-2000000,-2000000
912810TM0,-2000000,3000000,-3000000,-2000000
912810TL2,-3000000,-2000000,3000000,-2000000
91282CFX4,-3000000,3000000,3000000,3000000
91282CGA3,3000000,-3000000,3000000,3000000
91282CFZ9,3000000,3000000,-3000000,3000000
91282CFY2,-3000000,3000000,3000000,3000000
91282CFV8,3000000,-3000000,3000000,3000000
912810TM0,3000000,3000000,-3000000,3000000
912810TL2,-3000000,3000000,3000000,3000000
91282CFX4,-3000000,3000000,-3000000,-3000000
91282CGA3,-3000000,-3000000,3000000,-3000000
91282CFZ9,3000000,-3000000,-3000000,-3000000
91282CFY2,-3000000,3000000,-3000000,-3000000
91282CFV8,-3000000,-3000000,3000000,-3000000
912810TM0,3000000,-3000000,-3000000,-3000000
912810TL2,-3000000,3000000,-3000000,-3000000
91282CFX4,-2000000,3000000,-3000000,-2000000
91282CGA3,-3000000,-2000000,3000000,-2000000
91282CFZ9,3000000,-3000000,-2000000,-2000000
91282CFY2,-2000000,3000000,-3000000,-2000000
91282CFV8,-3000000,-2000000,3000000,-2000000
912810TM0,3000000,-3000000,-2000000,-2000000
912810TL2,-2000000,3000000,-3000000,-2000000
91282CFX4,-2000000,1000000,-3000000,-4000000
91282CGA3,-3000000,-2000000,1000000,-4000000
91282CFZ9,1000000,-3000000,-2000000,-4000000
91282CFY2,-2000000,1000000,-3000000,-4000000
91282CFV8,-3000000,-2000000,1000000,-4000000
912810TM0,1000000,-3000000,-2000000,-4000000
912810TL2,-2000000,1000000,-3000000,-4000000
91282CFX4,-2000000,1000000,0,-1000000
91282CGA3,0,-2000000,1000000,-1000000
91282CFZ9,1000000,0,-2000000,-1000000
91282CFY2,-2000000,1000000,0,-1000000
91282CFV8,0,-2000000,1000000,-1000000
912810TM0,1000000,0,-2000000,-1000000
912810TL2,-2000000,1000000,0,-1000000
91282CFX4,-6000000,1000000,0,-5000000
91282CGA3,0,-6000000,1000000,-5000000
91282CFZ9,1000000,0,-6000000,-5000000
91282CFY2,-6000000,1000000,0,-5000000
91282CFV8,0,-6000000,1000000,-5000000
912810TM0,1000000,0,-6000000,-5000000
912810TL2,-6000000,1000000,0,-5000000
